title,src,position,link
Letter to Shihei (George) Shitamae,https://objects.lib.uidaho.edu/shitamae/mg387_03_129.jpg,center,https://www.lib.uidaho.edu/digital/shitamae/items/shitamae129.html
Quarterback passing the football,https://objects.lib.uidaho.edu/pg2/pg21269.jpg,center,https://www.lib.uidaho.edu/digital/pg2/items/pg21269.html
Historic Ketchum fire map,https://objects.lib.uidaho.edu/sanborn/sanborn-ketchum-1890-001.jpg,center,https://www.lib.uidaho.edu/digital/sanborn/items/sanborn-ketchum-1890-001.html
Idaho Stunt at Harvard Yell Contest,https://objects.lib.uidaho.edu/pg2/pg22551.jpg,center,https://www.lib.uidaho.edu/digital/pg2/items/pg22551.html
Campus Day Maypole dance,https://objects.lib.uidaho.edu/pg2/pg2645.jpg,bottom,https://www.lib.uidaho.edu/digital/pg2/items/pg2645.html
Class of 1899,https://objects.lib.uidaho.edu/pg2/pg21002.jpg,center,https://www.lib.uidaho.edu/digital/pg2/items/pg21002.html
Logging train in the northwest,https://objects.lib.uidaho.edu/postcards/pg_9_21_02a.jpg,center,https://www.lib.uidaho.edu/digital/postcards/items/nwpostcards1603.html
Harvester pulled by horses,https://objects.lib.uidaho.edu/postcards/pg_9_16_01a.jpg,center,https://www.lib.uidaho.edu/digital/postcards/items/nwpostcards1547.html
Football program cover Idaho vs Montana State,https://objects.lib.uidaho.edu/footballcovers/footballcovers87.jpg,center,https://www.lib.uidaho.edu/digital/footballcovers/items/footballcovers87.html
Wallace High School,https://objects.lib.uidaho.edu/barstock/barstock1505.jpg,center,https://www.lib.uidaho.edu/digital/barstock/items/barstock1505.html
Lee Morse,https://objects.lib.uidaho.edu/ijc/morse_lee/ijc_lee_morse_008.jpg,center,https://www.ijc.uidaho.edu/morse_lee/items/ijc_lee_morse_008.html
82nd Commencement Program,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1977-05-14_sm.jpg,center,https://www.lib.uidaho.edu/digital/commencement/items/commencement097.html
Poster Mankind does have a strong instinct for survival,https://objects.lib.uidaho.edu/ames/small/ug73_b08_f01-005_sm.jpg,bottom,https://www.lib.uidaho.edu/digital/ames/items/ames005.html
Chamberlain Basin and Sheepeater Lake,https://objects.lib.uidaho.edu/ernieday/mg459_014.jpg,center,https://www.lib.uidaho.edu/digital/ernieday/items/ernieday014.html
Blueprint map of land proposed for withdrawal for Priest River Experimental Station,https://objects.lib.uidaho.edu/expforest/expforsav845.jpg,center,https://www.lib.uidaho.edu/digital/expforest/items/expforsav845.html
